a [a:]
apoyntya [a’pɔɪntja]
arbennek [ar’bɛn:ɛk]
apoyntyans [a’pɔɪntjans]
appel [a’pɛ:l]
arbrevi [ar’brɛvi]
arbrov [‘arbrɔv]
apperya [a’pɛ:rja]
appla [‘apla]
arbrovji [ar’brɔvʤi]
apposya [a’pɔzja]
ardak [‘ardak]
apposyans [a’pɔzjans]
ardh [arð]
ardyghtya [ar’dɪxtja]
arenebedh [ˌarɛ’nɛbɛð]
apron [‘aprɔn]
arenebel [ˌarɛ’nɛbɛl]
Arab [‘arap]
Arabek [a’rabɛk]
arenep [ar’ɛnɛp]
arabek [a’rabɛk]
Arabes [a’rabɛs]
areth [‘arɛθ]
arader [‘aradər]
arethek [a’rɛθɛk]
araderor [‘aradərɔr]
arethor [a’rɛθɔr]
a-rag [a’ra:g]
arethores [ˌarɛ’θɔrɛs]
arethva [a’rɛθfa]
arethya [a’rɛθja]
argas [‘argas]
argasor [ar’gazɔr]
argasores [ˌarga’zɔrɛs]
aral [‘aral]
argasus [ar’gazʏs]
aras [‘aras]
arge [‘argɛ]
aray [a’raˑɪ]
argel [‘argɛl]
argemmyn [ar’gɛm:ɪn]
araya [a’raja]
argibya [ar’gɪbja]
argibyans [ar’gɪbjans]
argemynna [ˌargɛ’mɪn:a]
argol [‘argɔl]
argos [‘argɤs]
argemynnans [ˌargɛ’mɪn:ans]
argraf [‘argraf]
argerdh [‘argɛrð]
argrevell [ar’grɛvɛl]
argerdhes [ar’gɛrðɛs]
argument [‘argʏmɛnt]
argevri [ar’gɛvri]
argevro [ar’gɛvrɔ]
argya [‘argja]
argh [arx]
argyans [‘argjans]
arholyades [ˌarhɔl’jadɛs]
arghadow [ar’hadɔʊ]
arholyas [ar’hɔljas]
arhwilas [ar’ʍilas]
arghans [‘arhans]
arhwilell [ar’ʍilɛl]
arhwilyans [ar’ʍɪljans]
arghansek [ar’hanzɛk]
arghanser [ar’hanzɛr]
arhwithra [ar’ʍɪθra]
arhwithrans [ar’ʍɪθrans]
arghansores [ˌarhan’zɔrɛs]
arlenans [ar’lɛnans]
arghanti [ar’hanti]
arlenwel [ar’lɛnwɛl]
arliw [‘arlɪʊ]
arliwa [ar’liwa]
Arghantina [ˌarhan’ti:na]
arlodh [‘arlɤð]
Arghantinan [ˌarhan’ti:nan]
arlodhes [ar’lɤðɛs]
arghantinek [ˌarhan’ti:nɛk]
arlottes [ar’lɤtɛs]
arlotteth [ar’lɔtɛθ]
Arghantines [ˌarhan’ti:nɛs]
armatur [‘armaˌtyˑr]
arghas [‘arhas]
arghasa [ar’haza]
armel [‘armɛl]
arghasans [ar’hazans]
arnewa [ar’nɛwa]
arghel [‘arxɛl]
arghepskop [arx’ɛpskɔp]
arnowydh [ar’nɔwɪθ]
arnowydhhe [arˌnɔwɪθ’hɛ:]
arghpedrevan [ˌarxpɛ’drɛvan]
arnowydhheans [arˌnɔwɪθ’hɛ:ans]
arwostel [ar’wɤstəl]
arta [‘arta]
arwostla [ar’wɤstla]
artikel [ar’tɪkɛl]
-as [-as]
artydh [‘artɪð]
ascendya [a’sɛndja]
artydhes [ar’tɪðɛs]
ascendyans [a’sɛndjans]
arv [arv]
asen [‘azɛn]
Asi [‘a:zi]
arva [‘arva]
Asian [a’zi:an]
arvedh [‘arvɛð]
Asianes [ˌazi’anɛs]
arvedhen [ar’vɛðɛn]
asiek [a’zi:ɛk]
arveth [‘arvɛθ]
askal [‘askal]
askel [‘askɛl]
arvethesiges [arˌvɛθɛ’zigɛs]
asklos [‘asklɤs]
arvethesik [ˌarvɛ’θɛzɪk]
asklosi [as’klɤzi]
asklotti [as’klɤti]
arvethor [ar’vɛθɔr]
askor [‘askɔr]
arvethores [ˌarvɛ’θɔrɛs]
askoreres [ˌaskɔ’rɛrɛs]
arvor [‘arvɔr]
askorn [‘askɔrn]
arvreus [‘arvrœs]
askornek [as’kɔrnɛk]
askorra [as’kɔr:a]
arvreusi [ar’vrœzi]
askorrans [a’skɔr:ans]
arvreusyades [ˌarvrœz’jadɛs]
askorras [as’kɔr:as]
arvreusyans [ar’vrœzjans]
askorrer [a’skɔr:ɛr]
arvreusyas [ar’vrœzjas]
askrifa [a’skrifa]
askrifys [a’skrifɪs]
arvwisk [‘arvwɪsk]
askus [‘askʏs]
arwask [‘arwask]
askusya [as’kʏzja]
arwaska [ar’waska]
aslam [‘azlam]
arwedhya [ar’wɛðja]
arwodh [‘arwɤð]
aslamma [az’lam:a]
asnodhow [az’nɔðɔʊ]
asow [‘azɔʊ]
arwodhik [ar’wɤðɪk]
asper [‘aspɛr]
aspia [a’spi:a]
aspians [a’spi:ans]
aswonys [az’wɔnɪs]
aspier [a’spi:ɛr]
Asya [‘a:zja]
atal [‘atal]
aspiores [ˌaspi’ɔrɛs]
atalgist [a’talgɪst]
asran [‘azran]
ass [as]
athlet [‘aθlɛt]
assa [‘asa]
athletek [aθ’lɛtɛk]
assay [a’saˑɪ]
athletes [aθ’lɛtɛs]
assaya [a’saja]
atlantek [at’lantɛk]
assentya [a’sɛntja]
atom [‘atɔm]
atomek [a’tɔmɛk]
assoyladow [ˌasɔɪ’ladɔʊ]
atomva [a’tɔmva]
assoylya [a’sɔɪlja]
attal [‘atal]
attamya [a’tamja]
attendya [a’tɛndja]
astelwolya [ˌastɛl’wɤlja]
attendyans [a’tɛndjans]
astelwolyans [ˌastɛl’wɤljans]
attent [‘atɛnt]
astiveri [ˌastɪ’vɛri]
attes [a’tɛ:z]
attesva [a’tɛzva]
astiveryans [ˌastɪ’vɛrjans]
atti [‘ati]
astranj [a’stranʤ]
asvaba [az’vaba]
attyli [a’tɪli]
a-ugh [a’y:x]
asvabans [az’vabans]
Asvens [‘azvɛns]
aswa [‘azwa]
aswiwa [az’wiwa]
aswiwer [az’wiwɛr]
aswon [‘azwɔn]
aval [‘aval]
aswonvos [az’wɔnvɔs]
avon [‘avɔn]
avonsya [a’vɔ:nsja]
avonsyans [a’vɔ:nsjans]
avalen [‘aval]
a-vorow [a’vɔrɔʊ]
avalennek [ˌava’lɛn:ɛk]
avoutrer [a’vu:trɛr]
avalowa [ˌava’lowa]
avoutres [a’vu:trɛs]
avan [‘avan]
avoutri [a’vu:tri]
a-vann [a’van:]
avowa [a’vɔwa]
a-varr [a’var:]
avaylya [a’vaɪlja]
avel [a’vɛ:l]
avowadow [ˌavɔ’wadɔʊ]
avowans [a’vɔwans]
aven [‘avɛn]
avoydya [(a)’vɔɪdja]
aventur [a’vɛntʏr]
avresnel [a’vrɛsnɛl]
aventurus [ˌavɛn’tʏrʏs]
avresonus [ˌavrɛ’zɔnʏs]
aventurya [ˌavɛn’tʏrja]
avrewlys [av’rɛʊlɪs]
a-vusur [a’vʏzʏr]
a-ves [a’vɛ:z]
a-wartha [a’warθa]
awedhya [a’wɛðja]
awedhyans [a’wɛðjans]
avis [a’vi:s]
awel [‘awɛl]
avisya [a’vɪsja]
avisyer [a’vɪzjɛr]
avisyores [ˌavɪz’jɔrɛs]
avius [a’vi:ʏs]
awenek [a’wɛnɛk]
avlan [‘avlan]
awenekter [ˌawɛ’nɛktɛr]
avlavar [av’lavar]
avochya [a’vɔʧja]
aweni [a’wɛni]
avodya [a’vɔdja]
awenydh [a’wɛnɪð]
avokado [ˌavɔ’kadɔ]
awenydhes [ˌawɛ’nɪðɛs]
aweyl [a’wɛɪl]
ayrlinen [aɪr’lɪnɛn]
awgrym [‘aʊgrɪm]
ayrlorgh [‘aɪrlɔrx]
a-woles [a’wɤlɛs]
ayrosol [‘aɪrɔsɔl]
ayrplayn [‘aɪrplaɪn]
awos [a’wɔ:z]
ayrsketh [‘aɪrskɛθ]
ayrstanch [‘aɪrstanʧ]
a-wosa [a’wɔza]
aysel [‘aɪzɛl]
awotta [a’wɔta]
azalea [ˌaza’lɛ:a]
baban [‘baban]
awra [‘aʊra]
awtomatek [ˌaʊtɔ’matɛk]
babi [‘babi]
bacheler [‘baʧɛlɛr]
awtorita [aʊ’tɔrɪta]
bachelerieth [baˌʧɛlɛ’ri:ɛθ]
awtoritaus [aʊˌtɔrɪ’ta:ʏs]
backen [‘bakɛn]
awtoritauster [ˌaʊtɔˌrɪta’ʏstɛr]
bad [bad]
awtour [‘aʊtʊr]
badhya [‘baðja]
awtoures [aʊ’tu:rɛs]
badminton [‘badmɪntɔn]
ayr [aɪr]
ayrborth [‘aɪrbɔrθ]
ayrbost [‘aɪrbɔst]
bad-ober [ˌbaˑd’ɔbɛr]
ayredh [‘aɪrɛð]
ayrek [‘aɪrɛk]
badus [‘badʏs]
ayrell [‘aɪrɛl]
bagas [‘bagas]
ayrella [aɪ’rɛl:a]
ayrellans [aɪ’rɛl:ans]
ayren [‘aɪrɛn]
bagasik [ba’gazɪk]
ayrewnans [aɪr’ɛʊnans]
ayrgelgh [‘aɪrgɛlx]
bagha [‘baha]
bakteriom [bak’tɛriɔm]
ayrgregi [aɪr’grɛgi]
bal [ba:l]
balegva [ba’lɛgva]
bardh [barð]
balgh [balx]
ball [bal:]
bardhes [‘barðɛs]
ballad [‘bal:at]
balweyth [‘balwɛɪθ]
bardhonek [bar’ðɔnɛk]
balyer [‘baljɛr]
bardhonieth [ˌbarðɔ’ni:ɛθ]
banadhel [‘banaðəl]
bargen [‘bargɛn]
banadhlek [ba’naðlɛk]
bargesi [bar’gɛzi]
banana [ba’na:na]
bargos [‘bargɔs]
baner [‘banɛr]
Bangladesh [‘baŋglaˌdɛʃ]
bargynnya [bar’gɪn:ja]
banken [‘baŋkɛn]
barkado [bar’ka:dɔ]
banket [‘baŋkɛt]
barlen [‘barlɛn]
banknota [baŋk’nɔ:ta]
barlys [‘barlɪs]
barna [‘barna]
bankskwattyans [baŋk’skwatjans]
barner [‘barnɛr]
barnores [bar’nɔrɛs]
bankskwattyes [baŋk’skwatjɛs]
barometer [ˌbarɔ’mɛtɛr]
bann [ban:]
banna [‘ban:a]
bannek [‘ban:ɛk]
barren [‘bar:ɛn]
banow [‘banɔʊ]
barrgod [‘bargɔd]
banyshya [ba’nɪʃja]
barrlennell [bar’lɛn:ɛl]
bara [‘bara]
barthusek [bar’θʏzɛk]
baramanyn [ˌbara’manɪn]
barv [barv]
barbakoa [ˌbarba’kɔ:a]
barvus [‘barvʏs]
barbour [‘barbʊr]
bas [ba:z]
basa [‘baza]
basar [ba’za:r]
Bask [ba:sk]
beggya [‘bɛgja]
Baskek [‘baskɛk]
beggyer [‘bɛgjɛr]
baskek [‘baskɛk]
beggyores [bɛg’jɔrɛs]
Baskes [‘baskɛs]
begh [bɛ:x]
basket [‘baskɛt]
beghus [‘bɛhʏs]
basnet [‘basnɛt]
beghya [‘bɛxja]
bason [‘bazɔn]
bastard [‘bastart]
batalyas [ba’taljas]
bejeth [‘bɛʤɛθ]
batel [‘batɛl]
bath [ba:θ]
bathva [‘baθfa]
Belarus [ˌbɛla’ry:s]
Belarussek [ˌbɛla’rʏsɛk]
batri [‘batri]
batt [bat]
belarussek [ˌbɛla’rʏsɛk]
batti [‘bati]
bay [baˑɪ]
Belarussian [bɛˌlarʏ’si:an]
Belarussianes [ˌbɛlaˌrʏsi’anɛs]
bayros [‘baɪrɔs]
beler [‘bɛlɛr]
bayt [baɪt]
Belg [bɛlg]
baywydh [‘baɪwɪð]
belgek [‘bɛlgɛk]
Belges [‘bɛlgɛs]
bedh [bɛ:ð]
bell [bɛl:]
bedha [‘bɛða]
bedhek [‘bɛðɛk]
bedhekter [bɛ’ðɛktɛr]
benejikter [ˌbɛnə’ʤɪ(k)tɐr]
bedhros [‘bɛðrɔs]
benenes [bɛ’nɛnɛs]
bedhygla [bɛ’ðɪgla]
benfisek [bɛn’fizɛk]
benfisoges [ˌbɛnfɪ’zɔgɛs]
bengorfonieth [bɛŋˌgɔrfɔ’ni:ɛθ]
bengorfoniethel [ˌbɛŋgɔrˌfɔni’ɛθɛl]
bengorfydh [bɛŋ’gɔrfɪð]
bengorfydhes [ˌbɛŋgɔr’fɪðɛs]
besjon [‘bɛzjɔn]
besont [‘bɛzɔnt]
besow [‘bɛzɔʊ]
bennath [‘bɛnaθ]
benow [‘bɛnɔʊ]
vas [ˌbɛn’va:z]
benyga [bɛ’nɪga]
benygys [bɛ’nɪgɪs]
best [bɛ:st]
benyn [‘bɛnɪn]
besydh [‘bɛzɪð]
benynreydh [bɛ’nɪnrɛɪð]
besydhya [bɛ’zɪðja]
besydhyans [bɛ’zɪðjans]
besyel [‘bɛzjɛl]
bernya [‘bɛrnja]
betys [‘bɛ:tɪs]
berrhe [ˌbɛrˑ’hɛ:]
berrheans [ˌbɛr’hɛ:ans]
beudhi [‘bœði]
bever [‘bɛ:vɛr]
berrik [‘bɛr:ɪk]
berrskrif [‘bɛrskrɪf]
bewa [‘bɛwa]
berrskrifa [bɛr’skrifa]
berrwelyek [bɛr’wɛljɛk]
bewder [‘bɛʊdɛr]
berya [‘bɛrja]
bewedh [‘bɛwɛð]
bewek [‘bɛwɛk]
bledhynnyek [blɛ’ðɪnˑjɛk]
blessya [‘blɛsja]
bleudh [blø:ð]
bleudhder [‘blœðdɛr]
bewin [‘bɛwɪn]
bleudhya [‘blœðja]
bewnans [‘bɛʊnans]
bleujen [‘blœʤɛn]
bewonieth [ˌbɛwɔ’ni:ɛθ]
bleujyowa [blœʤ’jɔwa]
bewskrif [‘bɛʊskrɪf]
bleujyowek [blœʤ’jɔwɛk]
Beybel [‘bɛɪbɛl]
bian [‘bi:ɐn]
bleus [blø:z]
blew [blɛˑʊ]
Bibel [‘bi:bɛl]
blewek [‘blɛwɛk]
biblek [‘bɪblɛk]
bubyn [ˌbiˑbɪn’by:bɪn]
bleydh [blɛɪð]
bleyn [blɛɪn]
bilen [‘bilɛn]
bleynya [‘blɛɪnja]
blogh [blɔ:x]
bili [‘bili]
blonegek [blɔ’nɛgɛk]
blonek [‘blɔnɛk]
bilyon [‘bɪljɔn]
bloodh [blo:ð]
blou [blu:]
bis [bi:s]
bo [bɔ]
bismer [bɪ’smɛ:r]
bobba [‘bɔba]
blam [bla:m]
blamya [‘bla:mja]
bocka [‘bɤka]
blas [bla:z]
blasa [‘blaza]
bockla [‘bɔkla]
blaser [‘bla:zɛr]
bockyl [‘bɔkɪl]
bledhen [‘blɛðɛn]
bodh [bɔ:ð]
bodhar [‘bɔðar]
bodhara [bɔ’ðara]
bodharek [bɔ’ðarɛk]
bollen [‘bɔl:ɛn]
bollyn [‘bɔl:ɪn]
bodharhe [ˌbɔðar’hɛ:]
bodhek [‘bɔðɛk]
bolonjedh [bɔ’lɔnʤɛð]
bodhel [‘bɔðɛl]
bomm [bɔm:]
bodhesiges [ˌbɔðɛ’zɪgɛs]
bommell [‘bɔm:ɛl]
bodhesik [bɔ’ðɛzɪk]
bommen [‘bɤm:ɛn]
bodhoges [bɔ’ðɔgɛs]
bond [bɔnd]
Bodisatva [ˌbɔdɪ’satva]
bonden [‘bɔndɛn]
bogalek [bɔ’galɛk]
bones [‘bɔnɛs]
bogalen [bɔ’galɛn]
bonk [bɔŋk]
bonkya [‘bɔŋkja]
boghes [‘bɔhɛs]
bonus [‘bɔ:nʏs]
bool [bo:l]
boos [bo:z]
boghosek [bɔ’hɔzɛk]
boosa [‘bo:za]
bora [‘bɔra]
boragweyth [bɔ’ragwɛɪθ]
boghosekhe [bɔˌhɔzɛk’hɛ:]
bord [bɔrd]
boghosogneth [ˌbɔhɔ’zɔgnɛθ]
bojet [‘bɔʤɛt]
bordh [bɔrð]
boreles [bɔ’rɛlɛs]
boksusi [bɔk’sʏzi]
borger [‘bɔrgɛr]
bold [bɔld]
bolder [‘bɔldɛr]
Borlowen [bɔr’lɔwɛn]
bolgh [bɔlx]
borr [bɔr:]
bolghen [‘bɔlhɛn]
bos [bɔ:z]
boll [bɔl:]
bolla [‘bɔl:a]
Bosni [‘bɔzni]
Bosnian [bɔz’ni:an]
brag [bra:g]
Bosnianes [ˌbɔzni’anɛs]
braga [‘braga]
brager [‘bragɛr]
bosniek [bɔz’ni:ɛk]
bost [bɔ:st]
braggya [‘bragja]
bosti [‘bɤsti]
bragji [‘bragʤi]
bostya [‘bɔ:stja]
bostyans [‘bɔˑstjans]
bragores [bra’gɔrɛs]
bostyer [‘bɔ:stja]
brall [bral:]
brallya [‘bralˑja]
bostyores [bɔst’jɔrɛs]
bramm [bram:]
bosva [‘bɔzva]
bramma [‘bram:a]
botas [‘bɔtas]
bran [bra:n]
botel [‘bɔtɛl]
botellas [bɔ’tɛlas]
both [bɔ:θ]
bothek [‘bɔθɛk]
bothel [‘bɔθɛl]
bothen [‘bɔθɛn]
brasa [‘braza]
bothkrom [‘bɔθkrɔm]
braser [‘brazɛr]
boton [‘bɔtɔn]
Brasil [bra’zil]
bouben [‘bu:bɛn]
braslavar [braz’lavar]
Bouddiek [bʊ’di:ɛk]
brasoberys [ˌbraˑzɔ’bɛrɪs]
Bouddieth [bʊ’di:ɛθ]
Bouddydh [‘bʊdɪð]
bras-oberys [ˌbrazɔ’bɛrɪs]
Bouddydhes [bʊ’dɪðɛs]
brasores [bra’zɔrɛs]
brassa [‘brasa]
braster [‘brastɛr]
bowji [‘bɔʊʤi]
brastereth [bras’tɛrɛθ]
brastir [‘brastɪr]
bownder [‘bɔʊndɛr]
brastiryel [bras’tɪrɛl]
